team,matches,attack,defense,form,rest_days,last_date
奥卢,2,-0.0756,0.2426,0.0313,6,2026-08-02
奥斯,1,-0.0378,-0.0546,-0.0417,1,2026-08-07
奥林匹亚,1,-0.2628,0.2628,-0.0139,4,2026-08-04
奥胡斯,2,0.1697,0.2175,0.0833,3,2026-08-05
奥莫尼亚,1,-0.2628,0.0378,-0.0417,10,2026-07-29
安德莱赫,3,0.0864,0.2770,0.0764,2,2026-08-06
富川FC,2,0.1181,0.2426,0.0313,7,2026-08-01
巴伊亚,1,-0.2628,0.2628,-0.0139,10,2026-07-29
巴竞技,4,-0.1835,0.0595,0.0152,2,2026-08-06
巴西国际,3,-0.0829,0.1459,-0.0032,6,2026-08-02
布兰,2,0.1772,-0.1697,0.0053,6,2026-08-02
布拉迪斯,1,0.0546,0.0378,0.0417,4,2026-08-04
布斯巴达,1,0.0546,0.0378,0.0417,4,2026-08-04
布雷达,1,0.0546,0.0378,0.0417,1,2026-08-07
布鲁马波,2,-0.0756,-0.0351,-0.0573,6,2026-08-02
帕佛斯,1,0.0546,0.2628,0.0417,9,2026-07-30
帕佛斯FC,1,-0.2628,-0.0546,-0.0417,14,2026-07-23
帕梅拉斯,1,0.1572,0.2628,0.0417,10,2026-07-29
库普斯,4,-0.0693,0.1670,0.0227,2,2026-08-06
弗拉门戈,2,-0.0756,0.0756,-0.0278,10,2026-07-29
弗鲁米嫩,3,-0.2543,-0.0226,-0.0731,3,2026-08-05
拉赫蒂,2,-0.0602,0.2426,0.0053,7,2026-08-01
斯海杜克,2,-0.0918,0.0602,-0.0053,9,2026-07-30
斯达,2,-0.0918,-0.1181,-0.0053,7,2026-08-01
本菲卡,3,0.3500,0.1284,0.0521,2,2026-08-06
柏林赫塔,1,-0.0378,0.2628,0.0417,1,2026-08-07
格雷米奥,2,-0.0756,0.0756,-0.0278,6,2026-08-02
格风暴,2,-0.0918,0.0602,-0.0053,3,2026-08-05
桑托斯,3,-0.1284,0.2979,0.0211,4,2026-08-04
桑纳菲,3,-0.3500,-0.0662,-0.1250,1,2026-08-07
横滨水手,1,0.1137,-0.1572,-0.0417,1,2026-08-07
比亚韦,1,0.0546,0.0378,0.0417,2,2026-08-06
汉坎,2,0.0462,0.2426,0.0053,8,2026-07-31
江原FC,2,-0.2426,-0.1772,-0.0833,7,2026-08-01
沙佩科,1,0.0546,-0.0546,-0.0139,14,2026-07-25
沙巴巴库,2,0.0236,0.0602,-0.0053,3,2026-08-05
法马利康,1,-0.0378,0.0378,-0.0139,1,2026-08-07
波兹莱赫,1,-0.2628,-0.1137,-0.0417,10,2026-07-29
波特兰,1,0.0546,0.0378,0.0417,7,2026-08-01
波鸿,1,-0.2628,0.0378,-0.0417,1,2026-08-07
洛城银河,2,-0.2426,0.2426,-0.0278,7,2026-08-01
洛杉矶,1,-0.0378,0.0378,-0.0139,7,2026-08-01
流浪者,1,-0.0378,-0.0546,-0.0417,2,2026-08-06
济州SK,2,0.1772,-0.1181,0.0242,6,2026-08-02
浦和红钻,1,0.1137,-0.1572,-0.0417,1,2026-08-07
浦项制铁,2,-0.3500,-0.0236,-0.0833,7,2026-08-01
温哥华,1,-0.0378,0.0378,-0.0139,7,2026-08-01
特温特,2,0.0351,-0.1092,-0.0538,9,2026-07-30
特罗姆瑟,1,0.2203,-0.0546,0.0417,6,2026-08-02
玛丽港,2,-0.2426,-0.1181,-0.0573,7,2026-08-01
瓦勒伦加,2,0.0117,-0.1772,-0.0053,8,2026-07-31
瓦斯特拉,1,-0.2628,-0.2203,-0.0417,5,2026-08-03
瓦萨,2,-0.2426,-0.1000,-0.0833,6,2026-08-02
盐湖城,1,-0.0378,0.0378,-0.0139,7,2026-08-01
盖斯,1,-0.0378,0.0378,-0.0139,13,2026-07-26
科林蒂安,3,-0.1619,0.2142,-0.0244,6,2026-08-02
米亚尔比,2,-0.0756,-0.1092,-0.0833,4,2026-08-04
米堡,1,-0.0378,0.2628,0.0417,1,2026-08-07
米拉索,2,0.0236,0.0756,0.0242,6,2026-08-02
索尔纳,1,-0.2628,0.2628,-0.0139,12,2026-07-27
纽约城,1,-0.0378,0.0378,-0.0139,8,2026-07-31
维京,2,0.1181,0.2426,0.0313,7,2026-08-01
维多利亚,4,-0.0595,-0.0428,-0.0440,2,2026-08-06
罗森博格,2,0.2209,-0.0462,-0.0053,6,2026-08-02
罗达JC,1,-0.2628,0.0378,-0.0417,1,2026-08-07
芝加哥,1,0.0546,0.0378,0.0417,7,2026-08-01
莫尔德,2,0.2709,-0.1772,0.0242,6,2026-08-02
萨普斯堡,2,0.1181,-0.0462,0.0242,6,2026-08-02
蔚山现代,2,0.2273,0.0756,0.0833,6,2026-08-02
西雅图,1,-0.0378,-0.0546,-0.0417,7,2026-08-01
贝西克塔,1,0.0546,0.2628,0.0417,9,2026-07-30
贝西克塔斯,1,-0.0378,0.2628,0.0417,14,2026-07-23
费伦茨瓦,2,0.1092,-0.0351,0.0242,9,2026-07-30
费内巴切,1,0.0546,0.2628,0.0417,3,2026-08-05
费特斯塔,2,-0.2175,-0.0905,0.0053,7,2026-08-01
赫尔火花,3,-0.0020,-0.0096,-0.0207,1,2026-08-07
赫尔辛基,2,-0.2426,-0.0462,-0.0053,5,2026-08-03
赫根,2,-0.2175,0.2175,-0.0278,7,2026-08-01
达伽马,1,0.1137,0.0378,0.0417,3,2026-08-05
达拉斯,2,-0.3500,0.2426,-0.0538,7,2026-08-01
迈阿密,1,0.0546,-0.0546,-0.0139,7,2026-08-01
里昂,1,-0.0378,-0.0546,-0.0417,4,2026-08-04
金泉尚武,2,0.1000,0.0918,0.0833,7,2026-08-01
雅罗,2,-0.0918,-0.0351,-0.0053,7,2026-08-01
雷克瑟姆,1,-0.2628,0.0378,-0.0417,1,2026-08-07
雷莫,4,-0.3500,-0.0129,-0.1374,4,2026-08-04
首尔FC,2,-0.2426,-0.0117,-0.0538,7,2026-08-01
马尔默,2,0.0351,-0.0236,0.0053,6,2026-08-02
鹿岛鹿角,1,0.1572,-0.1137,0.0417,1,2026-08-07
