date,team_a,team_b,home_goals,away_goals,half_home_goals,half_away_goals,match_id,result_status,result_source,source_record_id,captured_at_bjt,score_scope,settlement_minutes,result_observations_json
2026-07-26,布兰,瓦勒伦加,2,3,,,2040631,finished,zgzcw,2040631,2026-07-27T13:59:34.532582+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-27T13:59:34.532582+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040631""}],""schema_version"":1}"
2026-07-26,赫尔辛基,图尔库,1,0,,,2040632,finished,zgzcw,2040632,2026-07-27T13:59:34.532586+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-27T13:59:34.532586+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040632""}],""schema_version"":1}"
2026-07-26,盖斯,哈斯塔德,1,1,,,2040633,finished,zgzcw,2040633,2026-07-27T13:59:34.532589+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532589+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040633""}],""schema_version"":1}"
2026-07-26,马尔默,埃夫斯堡,1,2,,,2040634,finished,zgzcw,2040634,2026-07-27T13:59:34.532593+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-27T13:59:34.532593+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040634""}],""schema_version"":1}"
2026-07-26,萨普斯堡,汉坎,1,0,,,2040635,finished,zgzcw,2040635,2026-07-27T13:59:34.532596+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-27T13:59:34.532596+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040635""}],""schema_version"":1}"
2026-07-26,KF奥斯陆,莫尔德,2,4,,,2040636,finished,zgzcw,2040636,2026-07-27T13:59:34.532599+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""4"",""captured_at_bjt"":""2026-07-27T13:59:34.532599+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040636""}],""schema_version"":1}"
2026-07-26,桑纳菲,博德闪耀,0,3,,,2040637,finished,zgzcw,2040637,2026-07-27T13:59:34.532602+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-27T13:59:34.532602+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040637""}],""schema_version"":1}"
2026-07-26,奥勒松,维京,1,1,,,2040638,finished,zgzcw,2040638,2026-07-27T13:59:34.532606+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532606+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040638""}],""schema_version"":1}"
2026-07-26,弗拉门戈,圣保罗,1,1,,,2040639,finished,zgzcw,2040639,2026-07-27T13:59:34.532609+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532609+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040639""}],""schema_version"":1}"
2026-07-26,格雷米奥,弗鲁米嫩,1,1,,,2040640,finished,zgzcw,2040640,2026-07-27T13:59:34.532613+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532613+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040640""}],""schema_version"":1}"
2026-07-27,赫根,索尔纳,0,0,,,2040641,finished,zgzcw,2040641,2026-07-28T13:53:39.106216+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-28T13:53:39.106216+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040641""}],""schema_version"":1}"
2026-07-27,罗森博格,费特斯塔,4,0,,,2040642,finished,zgzcw,2040642,2026-07-28T13:53:39.106229+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-28T13:53:39.106229+08:00"",""home_goals"":""4"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040642""}],""schema_version"":1}"
